#Image CLASS-ID SPECIES BREED ID
#ID: 1:37 Class ids
#SPECIES: 1:Cat 2:Dog
#BREED ID: 1-25:Cat 1:12:Dog
#All images with 1st letter as captial are cat images
#images with small first letter are dog images
Abyssinian_100 1 1 1
Abyssinian_101 1 1 1
Abyssinian_102 1 1 1
Abyssinian_103 1 1 1
Abyssinian_104 1 1 1
Abyssinian_105 1 1 1
Abyssinian_106 1 1 1
Abyssinian_107 1 1 1
Abyssinian_108 1 1 1
Abyssinian_109 1 1 1
Abyssinian_10 1 1 1
Abyssinian_110 1 1 1
Abyssinian_111 1 1 1
Abyssinian_112 1 1 1
Abyssinian_113 1 1 1
Abyssinian_114 1 1 1
Abyssinian_115 1 1 1
Abyssinian_116 1 1 1
Abyssinian_117 1 1 1
Abyssinian_118 1 1 1
Abyssinian_119 1 1 1
Abyssinian_11 1 1 1
Abyssinian_120 1 1 1
Abyssinian_121 1 1 1
Abyssinian_122 1 1 1
Abyssinian_123 1 1 1
Abyssinian_124 1 1 1
Abyssinian_125 1 1 1
Abyssinian_126 1 1 1
Abyssinian_127 1 1 1
Abyssinian_128 1 1 1
Abyssinian_129 1 1 1
Abyssinian_12 1 1 1
Abyssinian_130 1 1 1
Abyssinian_131 1 1 1
Abyssinian_132 1 1 1
Abyssinian_133 1 1 1
Abyssinian_134 1 1 1
Abyssinian_135 1 1 1
Abyssinian_136 1 1 1
Abyssinian_137 1 1 1
Abyssinian_138 1 1 1
Abyssinian_139 1 1 1
Abyssinian_13 1 1 1
Abyssinian_140 1 1 1
Abyssinian_141 1 1 1
Abyssinian_142 1 1 1
Abyssinian_143 1 1 1
Abyssinian_144 1 1 1
Abyssinian_145 1 1 1
american_bulldog_100 2 2 1
american_bulldog_101 2 2 1
american_bulldog_102 2 2 1
american_bulldog_103 2 2 1
american_bulldog_104 2 2 1
american_bulldog_105 2 2 1
american_bulldog_106 2 2 1
american_bulldog_107 2 2 1
american_bulldog_108 2 2 1
american_bulldog_109 2 2 1
american_bulldog_10 2 2 1
american_bulldog_110 2 2 1
american_bulldog_111 2 2 1
american_bulldog_112 2 2 1
american_bulldog_113 2 2 1
american_bulldog_114 2 2 1
american_bulldog_115 2 2 1
american_bulldog_116 2 2 1
american_bulldog_117 2 2 1
american_bulldog_118 2 2 1
american_bulldog_119 2 2 1
american_bulldog_11 2 2 1
american_bulldog_120 2 2 1
american_bulldog_121 2 2 1
american_bulldog_122 2 2 1
american_bulldog_123 2 2 1
american_bulldog_124 2 2 1
american_bulldog_125 2 2 1
american_bulldog_126 2 2 1
american_bulldog_127 2 2 1
american_bulldog_128 2 2 1
american_bulldog_129 2 2 1
american_bulldog_12 2 2 1
american_bulldog_130 2 2 1
american_bulldog_131 2 2 1
american_bulldog_132 2 2 1
american_bulldog_133 2 2 1
american_bulldog_134 2 2 1
american_bulldog_135 2 2 1
american_bulldog_136 2 2 1
american_bulldog_137 2 2 1
american_bulldog_138 2 2 1
american_bulldog_139 2 2 1
american_bulldog_13 2 2 1
american_bulldog_140 2 2 1
american_bulldog_141 2 2 1
american_bulldog_142 2 2 1
american_bulldog_143 2 2 1
american_bulldog_144 2 2 1
american_bulldog_146 2 2 1
american_pit_bull_terrier_100 3 2 2
american_pit_bull_terrier_101 3 2 2
american_pit_bull_terrier_102 3 2 2
american_pit_bull_terrier_103 3 2 2
american_pit_bull_terrier_104 3 2 2
american_pit_bull_terrier_105 3 2 2
american_pit_bull_terrier_106 3 2 2
american_pit_bull_terrier_107 3 2 2
american_pit_bull_terrier_108 3 2 2
american_pit_bull_terrier_109 3 2 2
american_pit_bull_terrier_10 3 2 2
american_pit_bull_terrier_110 3 2 2
american_pit_bull_terrier_111 3 2 2
american_pit_bull_terrier_112 3 2 2
american_pit_bull_terrier_113 3 2 2
american_pit_bull_terrier_114 3 2 2
american_pit_bull_terrier_115 3 2 2
american_pit_bull_terrier_116 3 2 2
american_pit_bull_terrier_117 3 2 2
american_pit_bull_terrier_118 3 2 2
american_pit_bull_terrier_119 3 2 2
american_pit_bull_terrier_11 3 2 2
american_pit_bull_terrier_120 3 2 2
american_pit_bull_terrier_121 3 2 2
american_pit_bull_terrier_122 3 2 2
american_pit_bull_terrier_123 3 2 2
american_pit_bull_terrier_124 3 2 2
american_pit_bull_terrier_125 3 2 2
american_pit_bull_terrier_126 3 2 2
american_pit_bull_terrier_127 3 2 2
american_pit_bull_terrier_128 3 2 2
american_pit_bull_terrier_129 3 2 2
american_pit_bull_terrier_12 3 2 2
american_pit_bull_terrier_130 3 2 2
american_pit_bull_terrier_131 3 2 2
american_pit_bull_terrier_132 3 2 2
american_pit_bull_terrier_133 3 2 2
american_pit_bull_terrier_134 3 2 2
american_pit_bull_terrier_135 3 2 2
american_pit_bull_terrier_136 3 2 2
american_pit_bull_terrier_137 3 2 2
american_pit_bull_terrier_138 3 2 2
american_pit_bull_terrier_139 3 2 2
american_pit_bull_terrier_13 3 2 2
american_pit_bull_terrier_140 3 2 2
american_pit_bull_terrier_141 3 2 2
american_pit_bull_terrier_142 3 2 2
american_pit_bull_terrier_143 3 2 2
american_pit_bull_terrier_144 3 2 2
american_pit_bull_terrier_145 3 2 2
basset_hound_100 4 2 3
basset_hound_101 4 2 3
basset_hound_102 4 2 3
basset_hound_103 4 2 3
basset_hound_104 4 2 3
basset_hound_105 4 2 3
basset_hound_106 4 2 3
basset_hound_107 4 2 3
basset_hound_108 4 2 3
basset_hound_109 4 2 3
basset_hound_10 4 2 3
basset_hound_110 4 2 3
basset_hound_111 4 2 3
basset_hound_112 4 2 3
basset_hound_113 4 2 3
basset_hound_114 4 2 3
